epoch,train_loss,train_accuracy_against_assigned_labels,validation_loss,validation_accuracy
1,1.4739428989410401,0.6114285714285714,0.631479707845052,0.9180666666666667
2,1.4194971066611153,0.6349857142857143,0.5702017171223959,0.9266666666666666
3,1.4189429206848145,0.6359285714285714,0.5329290405273438,0.9452666666666667
4,1.370172733443124,0.6540428571428571,0.4806334950764974,0.9546666666666667
5,1.3520839073998587,0.6601142857142858,0.4856093078613281,0.9586666666666667
6,1.3411898187909808,0.6628,0.46579656982421874,0.9586
7,1.3285450855527605,0.6655428571428571,0.4458953725179036,0.9660666666666666
8,1.0771224847521101,0.6128,0.5774709676106771,0.822
9,0.9957897849764142,0.5809285714285715,0.5824991093953451,0.8064
10,0.39445049998419623,0.6009428571428571,0.3128533390045166,0.8450666666666666
11,0.3627900962557111,0.6023285714285714,0.3146896402200063,0.8402666666666667
12,0.42086028791155133,0.5917285714285714,0.3419811842918396,0.8290666666666666
13,0.4062450036934444,0.5881142857142857,0.33440351219177245,0.8316
14,0.39134880422864643,0.5861142857142857,0.3368506836891174,0.8340666666666666
15,0.3874798662866865,0.5862,0.3460138109842936,0.8314666666666667
16,0.31865955594607764,0.5931428571428572,0.3166045268376668,0.8384666666666667
